 initial abundance for selected isotopes
  517   0.00000E+00  TI 56
  518   0.00000E+00  TI 57
  519   0.00000E+00  TI 58
  520   0.00000E+00  TI 59
  521   0.00000E+00  TI 60
  522   0.00000E+00  TI 61
  523   0.00000E+00  TI 62
  524   0.00000E+00  TI 63
  525   0.00000E+00  TI 64
  526   0.00000E+00  TI 65
  527   0.00000E+00  TI 66
  528   0.00000E+00  TI 67
  529   0.00000E+00  TI 68
  530   0.00000E+00  TI 69
  531   0.00000E+00  TI 70
  532   0.00000E+00  TI 71
  533   0.00000E+00  TI 72
  534   0.00000E+00  TI 73
  535   0.00000E+00  TI 74
  536   0.00000E+00  TI 75
  537   0.00000E+00  TI 76
  538   0.00000E+00  TI 77
  539   0.00000E+00  TI 78
  540   0.00000E+00  TI 79
  541   0.00000E+00  TI 80
  542   0.00000E+00  V  36
  543   0.00000E+00  V  37
  544   0.00000E+00  V  38
  545   0.00000E+00  V  39
  546   0.00000E+00  V  40
  547   0.00000E+00  V  41
  548   0.00000E+00  V  42
  549   0.00000E+00  V  43
  550   0.00000E+00  V  44
  551   1.43570E-22  V  45
  552   4.39644E-22  V  46
  553   8.90700E-11  V  47
  554   2.46205E-10  V  48
  555   3.98445E-08  V  49
  556   3.13973E-08  V  50
  557   5.45390E-07  V  51
  558   1.21066E-07  V  52
  559   1.55205E-08  V  53
  560   8.06906E-19  V  54
  561   0.00000E+00  V  55
  562   0.00000E+00  V  56
  563   0.00000E+00  V  57
  564   0.00000E+00  V  58
  565   0.00000E+00  V  59
  566   0.00000E+00  V  60
  567   0.00000E+00  V  61
  568   0.00000E+00  V  62
  569   0.00000E+00  V  63
  570   0.00000E+00  V  64
  571   0.00000E+00  V  65
  572   0.00000E+00  V  66
  573   0.00000E+00  V  67
  574   0.00000E+00  V  68
  575   0.00000E+00  V  69
  576   0.00000E+00  V  70
  577   0.00000E+00  V  71
  578   0.00000E+00  V  72
  579   0.00000E+00  V  73
  580   0.00000E+00  V  74
  581   0.00000E+00  V  75
  582   0.00000E+00  V  76
  583   0.00000E+00  V  77
  584   0.00000E+00  V  78
  585   0.00000E+00  V  79
  586   0.00000E+00  V  80
  587   0.00000E+00  V  81
  588   0.00000E+00  V  82
  589   0.00000E+00  V  83
  590   0.00000E+00  CR 38
  591   0.00000E+00  CR 39
  592   0.00000E+00  CR 40
  593   0.00000E+00  CR 41
  594   0.00000E+00  CR 42
  595   0.00000E+00  CR 43
  596   0.00000E+00  CR 44
  597   0.00000E+00  CR 45
  598   0.00000E+00  CR 46
  599   0.00000E+00  CR 47
  600   1.22394E-14  CR 48
  601   1.14263E-13  CR 49
  602   4.10290E-09  CR 50
  603   7.63590E-09  CR 51
  604   6.57600E-05  CR 52
  605   2.16602E-05  CR 53
  606   5.88300E-05  CR 54
  607   1.11381E-07  CR 55
  608   1.92080E-08  CR 56
  609   7.81059E-19  CR 57
  610   0.00000E+00  CR 58
  611   0.00000E+00  CR 59
  612   0.00000E+00  CR 60
  613   0.00000E+00  CR 61
  614   0.00000E+00  CR 62
  615   0.00000E+00  CR 63
  616   0.00000E+00  CR 64
  617   0.00000E+00  CR 65
  618   0.00000E+00  CR 66
  619   0.00000E+00  CR 67
  620   0.00000E+00  CR 68
  621   0.00000E+00  CR 69
  622   0.00000E+00  CR 70
  623   0.00000E+00  CR 71
  624   0.00000E+00  CR 72
  625   0.00000E+00  CR 73
  626   0.00000E+00  CR 74
  627   0.00000E+00  CR 75
  628   0.00000E+00  CR 76
  629   0.00000E+00  CR 77
  630   0.00000E+00  CR 78
  631   0.00000E+00  CR 79
  632   0.00000E+00  CR 80
  633   0.00000E+00  CR 81
  634   0.00000E+00  CR 82
  635   0.00000E+00  CR 83
  636   0.00000E+00  CR 84
  637   0.00000E+00  CR 85
  638   0.00000E+00  CR 86
  639   0.00000E+00  MN 40
  640   0.00000E+00  MN 41
  641   0.00000E+00  MN 42
  642   0.00000E+00  MN 43
  643   0.00000E+00  MN 44
  644   0.00000E+00  MN 45
  645   0.00000E+00  MN 46
  646   0.00000E+00  MN 47
  647   0.00000E+00  MN 48
  648   3.59503E-27  MN 49
  649   4.93183E-26  MN 50
  650   4.87428E-13  MN 51
  651   5.32888E-12  MN 52
  652   9.19094E-07  MN 53
  653   7.68679E-07  MN 54
  654   4.02697E-06  MN 55
  655   6.41747E-07  MN 56
  656   2.05644E-07  MN 57
  657   2.12304E-17  MN 58
  658   5.93364E-27  MN 59
  659   0.00000E+00  MN 60
  660   0.00000E+00  MN 61
  661   0.00000E+00  MN 62
  662   0.00000E+00  MN 63
  663   0.00000E+00  MN 64
  664   0.00000E+00  MN 65
  665   0.00000E+00  MN 66
  666   0.00000E+00  MN 67
  667   0.00000E+00  MN 68
  668   0.00000E+00  MN 69
  669   0.00000E+00  MN 70
  670   0.00000E+00  MN 71
  671   0.00000E+00  MN 72
  672   0.00000E+00  MN 73
  673   0.00000E+00  MN 74
  674   0.00000E+00  MN 75
  675   0.00000E+00  MN 76
  676   0.00000E+00  MN 77
  677   0.00000E+00  MN 78
  678   0.00000E+00  MN 79
  679   0.00000E+00  MN 80
  680   0.00000E+00  MN 81
  681   0.00000E+00  MN 82
  682   0.00000E+00  MN 83
  683   0.00000E+00  MN 84
  684   0.00000E+00  MN 85
  685   0.00000E+00  MN 86
  686   0.00000E+00  MN 87
  687   0.00000E+00  MN 88
  688   0.00000E+00  MN 89
  689   0.00000E+00  FE 42
  690   0.00000E+00  FE 43
  691   0.00000E+00  FE 44
  692   0.00000E+00  FE 45
  693   0.00000E+00  FE 46
  694   0.00000E+00  FE 47
  695   0.00000E+00  FE 48
  696   0.00000E+00  FE 49
  697   0.00000E+00  FE 50
  698   0.00000E+00  FE 51
  699   1.34429E-17  FE 52
  700   1.61152E-15  FE 53
  701   1.90471E-07  FE 54
  702   1.98446E-07  FE 55
  703   9.89802E-05  FE 56
  704   4.19599E-05  FE 57
  705   2.33683E-04  FE 58
  706   5.02424E-06  FE 59
  707   5.70662E-06  FE 60
  708   1.69771E-10  FE 61
  709   1.65726E-20  FE 62
  710   0.00000E+00  FE 63
  711   0.00000E+00  FE 64
  712   0.00000E+00  FE 65
  713   0.00000E+00  FE 66
  714   0.00000E+00  FE 67
  715   0.00000E+00  FE 68
  716   0.00000E+00  FE 69
  717   0.00000E+00  FE 70
  718   0.00000E+00  FE 71
  719   0.00000E+00  FE 72
  720   0.00000E+00  FE 73
  721   0.00000E+00  FE 74
  722   0.00000E+00  FE 75
  723   0.00000E+00  FE 76
  724   0.00000E+00  FE 77
  725   0.00000E+00  FE 78
  726   0.00000E+00  FE 79
  727   0.00000E+00  FE 80
  728   0.00000E+00  FE 81
  729   0.00000E+00  FE 82
  730   0.00000E+00  FE 83
